source,target,weight
0x01db1f,0x3a0e,12
0xe23e,0x713e,15
0x9e57,0x7b6c,11
0x015971,0x0174f8,12
0xb5ed,0x0136a4,16
0xe23e,0x0174f8,14
0x019fad,0x0174f8,137
0x016a96,0x0174f8,16
0x01333f,0x0174f8,19
0x01e7,0xf7,12
0x019b7d,0x01b8ff,11
0x017dd9,0xcc85,20
0xa7f7,0xf7,29
0x4667,0x01a577,24
0xb6c2,0x0174f8,144
0x0126dc,0x0174f8,17
0x018358,0x0174f8,19
0x45df,0x01ad2c,17
0xca22,0x01a577,11
0x017566,0x713e,12
0x6ef7,0x3902,12
0x01947d,0x0136a4,16
0x1178,0xf7,12
0xa1d5,0x199a,17
0xc21b,0xf7,29
0xff32,0x1585,25
0x0811,0xf7,26
0x6475,0x4e50,32
0x01333f,0xbbfd,17
0xf9e7,0x01b8ff,41
0x016a96,0x016d47,25
0x01a325,0x2a29,12
0x01b303,0xf7,12
0x4369,0x01ad2c,17
0x01362e,0x20c6,16
0x32f9,0xf7,20
0x4b56,0xf7,17
0x011404,0x0174f8,49
0x01d434,0x014c26,12
0x016ade,0x713e,19
0xcbe3,0xf7,11
0x5ebe,0x20c6,11
0x01a0d4,0x01b8ff,11
0x017ec3,0x017eac,55
0x7224,0x013489,25
0xb385,0x0174f8,12
0x017075,0xf7,11
0xd6cc,0xf7,11
0x018ad5,0x713e,16
0x01a9c8,0x01be64,12
0xfa35,0xfa3b,25
0x01baeb,0x0d97,32
0x2ead,0x20c6,24
0x01baeb,0x017373,16
0x0791,0xf7,11
0x6ed8,0xf7,16
0x5317,0x20c6,22
0x1bd1,0x014c26,11
0x24fa,0x20c6,11
0x3f17,0xbc4a,16
0x019e4f,0x4e50,111
0x018f85,0x01b8ff,16
0x018705,0x0d97,11
0x25a4,0xf7,12
0xab6e,0x01b8ff,16
0x325d,0x7b6c,11
0x0105a6,0x0174f8,55
0x51fe,0x713e,11
0x749c,0x0177ec,25
0x3ee8,0x0162f3,37
0x41a7,0xf7,34
0x011d0f,0x0174f8,16
0x9d72,0x713e,17
0xc038,0x01b8ff,24
0x9a5b,0x01e079,16
0x01dae1,0x014c26,12
0x79b8,0x5811,15
0x01b6bf,0x01b8ff,32
0x3565,0x01b40d,20
0xeabc,0xf7,24
0xcc2a,0x01b8ff,16
0x7913,0x01b8ff,25
0x0160d2,0x5811,13
0x016048,0xf7,16
0x011645,0x713e,11
0x200f,0x0174f8,236
0x3917,0x3902,23
0x6079,0x1585,18
0xb9eb,0x0174f8,206
0x018b60,0x713e,52
0xa86e,0x01a577,16
0x014412,0x016e04,15
0x01baeb,0x6efe,16
0xf338,0xf7,12
0x4785,0xf7,12
0x5729,0xf7,12
0x012b8c,0x0145e0,11
0x018070,0x713e,17
0x75a6,0x010510,11
0xbd76,0x5811,12
0x0169e3,0xf7,12
0x9f20,0x0134d9,92
0x20cd,0xf7,11
0x01333f,0x126d,41
0x8e,0x20c6,44
0x2dcd,0x7b6c,11
0xd4c5,0x0177ec,20
0xa2ac,0x0174f8,41
0xb77c,0x0177ec,16
0x0147a5,0x01b40d,23
0x0192c1,0x20c6,11
0x2111,0x713e,15
0x0100c0,0x01e079,11
0x017702,0x713e,19
0x8050,0x01b8ff,16
0x01c286,0x7044,17
0x4efd,0x19c3,173
0xd576,0x01a577,11
0x3c62,0xf7,11
0x011688,0x0174f8,49
0x7ef2,0x01b8ff,16
0x1a53,0xf7,20
0xe3e1,0xff1b,12
0x01dddb,0x01cfd4,97
0x017ac2,0xf7,12
0x0106b4,0x5811,17
0x014a16,0xf7,20
0xfb7f,0xe01b,11
0x4467,0x01a577,11
0x8867,0x8937,12
0xaec5,0x0177ec,24
0x8db9,0x20c6,11
0xa207,0x9a67,11
0x525f,0xf7,22
0x6f1e,0x01b8ff,16
0xcd,0xf7,14
0x012a8e,0xc06b,16
0x5ee0,0x3d7e,13
0x671e,0x1358,26
0x01a3e3,0x20c6,11
0x013110,0x20c6,24
0x017d9c,0xf7,12
0x5e82,0x0174f8,12
0x019fad,0x199a,17
0x01999a,0x0174f8,65
0x2575,0x01b8ff,32
0x1087,0x713e,15
0x011bb4,0x01b8ff,16
0x01803e,0xcc85,12
0x95e1,0x01a577,11
0x4a0a,0x0136a4,32
0x4aa0,0x7b6c,12
0x012051,0x0177ec,36
